ID player;age
1703;14
1704;14
1705;14
1706;14
1707;20
1708;14
1709;19
1710;14
1711;14
1712;20
1713;20
1714;14
1715;14
1716;14
1717;14
1718;14
1719;14
1720;14
1721;14
1722;14
1723;13
1724;14
1725;14
1726;14
1727;14
1728;14
1729;14
1730;14
1731;14
1732;14
1733;14
1734;14
1735;14
1736;14
1737;14
1738;14
1739;14
1740;14
1741;14
1742;14
1743;15
1744;14
1745;14
1746;14
1747;14
1748;14
1749;14
1750;14
1751;14
1752;14
1753;14
1756;14
1757;14
1758;14
1759;14
1760;14
1761;14
1762;14
1763;14
1764;14
1765;14
1766;14
1767;14
1768;14
1769;14
1770;14
1771;14
1772;13
1773;14
1774;13
1775;14
1872;14
1776;19
1777;20
1778;19
1779;20
1780;20
1781;19
1782;20
1783;19
1784;20
1785;20
1786;20
1787;20
1788;20
1789;19
1790;20
1791;20
1792;19
1793;17
1794;18
1795;17
1796;18
1797;18
1798;18
1799;18
1800;17
1801;17
1802;17
1803;18
1804;17
1805;18
1806;18
1807;18
1808;18
1809;18
1810;17
1811;17
1812;18
1813;17
1814;17
6259;20
1816;17
1817;16
1818;17
1819;17
1820;17
1821;17
1822;17
1823;17
1824;17
1825;17
1826;17
1827;17
1828;17
1829;17
1830;17
1831;17
1832;17
1833;17
1834;17
1835;17
1836;17
1838;14
1839;15
1840;14
1841;14
1842;14
1843;14
1844;14
1845;14
1846;13
1847;14
1848;14
1849;14
1850;13
1851;15
1852;14
1853;13
1854;14
1855;14
1856;14
1857;14
1858;14
1859;14
1860;14
1861;14
1862;14
1863;14
1864;14
1865;14
1866;14
1867;14
1868;14
1869;14
1870;13
1871;14
1873;14
1874;14
1875;14
1876;14
1877;14
1878;14
1879;14
1880;14
1881;14
1882;14
1883;14
1884;14
1885;14
1886;14
1887;14
1888;14
1889;15
1890;14
1891;14
1892;13
1893;14
1894;15
1895;14
1896;14
1897;14
1898;14
1899;14
1900;14
1901;13
1902;14
1903;13
1904;13
1905;34
1906;39
1907;33
1908;39
1909;40
1910;46
1911;36
1912;42
1913;33
1914;47
1915;46
1916;63
1917;31
1918;37
1919;33
1920;40
1921;16
1922;42
1923;16
1924;42
1925;15
1926;48
1927;16
1928;42
1929;16
1930;42
1931;16
1932;15
1933;16
1934;16
1935;16
1936;16
1937;16
1938;16
1939;16
1940;16
1941;16
1942;15
1943;16
1944;16
1945;16
1946;16
1947;16
1948;16
1949;15
1950;16
1951;16
1952;16
1953;16
1954;16
1955;16
1956;16
1957;16
1958;18
1959;16
2049;16
1960;14
1961;14
1962;14
1963;84
1964;13
1965;14
1966;84
1967;14
1968;13
1969;14
1970;14
1971;14
1972;14
1973;13
1974;14
1975;84
1976;14
1977;14
1978;14
1979;14
1980;14
1981;14
1982;14
1983;14
1984;14
1985;14
1986;14
1987;14
1988;14
1989;14
