ID,ID game,ID player,ID team,total time on ice,throws by,a shot on target,accurate transmission,blocked throws
825,6790,7815.0,439,861.0,,4.0,,1.0
826,6790,3714.0,176,,,,,
827,6790,5509.0,176,,,,,
828,6790,7776.0,176,862.0,,,,
829,6790,7779.0,176,852.0,2.0,2.0,,
830,6790,2237.0,176,889.0,1.0,,,1.0
831,6790,7778.0,176,1032.0,,,,
832,6790,1536.0,176,1115.0,2.0,1.0,,
833,6790,7777.0,176,653.0,,,,1.0
834,6790,7004.0,176,276.0,,,,
835,6790,6518.0,176,632.0,1.0,,,
836,6790,2236.0,176,1070.0,,4.0,,
837,6790,7780.0,176,551.0,1.0,,,
838,6790,5544.0,176,1043.0,,3.0,,
839,6790,1549.0,176,641.0,1.0,5.0,,1.0
840,6790,6303.0,176,877.0,1.0,3.0,,1.0
841,6790,7081.0,176,345.0,,,,
842,6790,876.0,176,1041.0,3.0,6.0,,1.0
843,6790,2241.0,176,804.0,,5.0,,
844,6793,6605.0,12,,,,,
845,6793,79.0,12,1136.0,2.0,3.0,,
846,6793,66.0,12,805.0,2.0,1.0,,
847,6793,303.0,12,742.0,1.0,6.0,,
848,6793,4873.0,12,701.0,,,,2.0
849,6793,227.0,12,699.0,,,,1.0
850,6793,1396.0,12,1103.0,1.0,3.0,,1.0
851,6793,886.0,12,785.0,2.0,3.0,,1.0
852,6793,3627.0,12,1081.0,1.0,4.0,,
853,6793,1.0,12,844.0,,,,
854,6793,749.0,12,683.0,,3.0,,
855,6793,4422.0,12,877.0,5.0,2.0,,
856,6793,2450.0,12,722.0,1.0,1.0,,
857,6793,4342.0,12,1018.0,1.0,5.0,,
858,6793,1102.0,12,668.0,3.0,,,
859,6793,1229.0,12,1059.0,1.0,3.0,,
860,6792,4300.0,438,,,,,
861,6792,5648.0,438,902.0,1.0,,,3.0
862,6792,7094.0,438,881.0,,,,
863,6792,5114.0,438,727.0,,2.0,,
864,6792,3847.0,438,794.0,2.0,1.0,,
865,6792,5654.0,438,932.0,,,,1.0
866,6792,3052.0,438,1855.0,3.0,5.0,,
867,6792,7098.0,438,898.0,3.0,2.0,1.0,
868,6792,6531.0,438,497.0,,,,
869,6792,5797.0,438,620.0,1.0,1.0,,
870,6792,4359.0,438,814.0,,,,2.0
871,6792,7090.0,438,1004.0,2.0,4.0,,1.0
872,6792,3049.0,438,843.0,2.0,2.0,,
873,6792,3053.0,438,901.0,3.0,2.0,,
874,6792,7097.0,438,928.0,2.0,4.0,,
875,444,509.0,1,,,,,
876,444,571.0,1,,,,,
877,444,66.0,1,,,,,
878,444,1100.0,1,,,,,
879,444,1099.0,1,,,,,
880,444,79.0,1,,,,,
881,444,295.0,1,,,,,
882,444,843.0,1,,,,,
883,444,1.0,1,,,,,
884,444,1102.0,1,,,,,
885,444,883.0,1,,,,,
886,444,840.0,1,,,,,
887,444,886.0,1,,,,,
888,444,294.0,1,,,,,
889,444,743.0,17,,,,,
890,444,1487.0,17,129.0,1.0,1.0,,
891,444,397.0,17,129.0,,,1.0,
892,444,438.0,17,,,,,
893,444,1349.0,17,129.0,,,,
894,444,207.0,17,,,,,
895,444,405.0,17,129.0,,,,
896,444,439.0,17,129.0,1.0,,2.0,
897,444,148.0,17,129.0,,1.0,,
898,444,414.0,17,,,,,
899,444,399.0,17,,,,,
900,444,415.0,17,,,,,
901,444,642.0,17,,,,,
902,444,408.0,17,,,,,
903,400,1434.0,64,,,,,
904,400,1436.0,64,183.0,1.0,2.0,,1.0
905,400,1455.0,64,183.0,1.0,,,
906,400,1437.0,64,,,,,
907,400,1438.0,64,183.0,,,,1.0
908,400,1447.0,64,,,,,
909,400,1449.0,64,,,,,
910,400,1443.0,64,183.0,,,2.0,
911,400,1496.0,64,183.0,,,1.0,
912,400,1452.0,64,183.0,2.0,1.0,,
913,400,1474.0,64,,,,,
914,400,1448.0,64,,,,,
915,400,1440.0,64,,,,,
916,400,1445.0,64,,,,,
917,400,1472.0,64,,,,,
918,6860,2459.0,26,,,,,
919,6860,4495.0,26,1180.0,1.0,1.0,,
920,6860,2464.0,26,864.0,1.0,,,1.0
921,6860,2463.0,26,730.0,,,,
922,6860,1036.0,26,404.0,,,,1.0
923,6860,2549.0,26,1202.0,3.0,3.0,,1.0
924,6860,1356.0,26,900.0,1.0,1.0,,
925,6860,5951.0,26,277.0,,1.0,,
926,6860,2460.0,26,787.0,1.0,2.0,,1.0
927,6860,2472.0,26,296.0,,,,
928,6860,5641.0,26,468.0,2.0,,,1.0
929,6860,2461.0,26,861.0,1.0,,,2.0
930,6860,4500.0,26,836.0,3.0,1.0,,
931,6860,4499.0,26,975.0,,2.0,,
932,6860,3631.0,26,962.0,2.0,1.0,,1.0
933,6860,1350.0,26,266.0,,,,
934,6860,7064.0,403,,,,,
935,6860,6045.0,403,,,,,
936,6860,6608.0,403,358.0,1.0,,,
