ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
964550,11121,46,4710,0,0-00
964551,11121,17,1619,0,0-00
964552,11119,573,10416,0,0-00
964553,11119,564,2478,0,0-00
964629,11466,398,4339,0,0-00
964719,11456,331,668,0,0-00
964820,11277,92,0,2056,44-29
964896,11461,332,5212,0,0-00
964897,11461,504,10063,0,0-00
964916,11452,581,0,10435,44-10
964936,11452,581,10435,0,44-18
965039,11463,130,5694,0,0-00
965041,11463,431,8407,0,0-00
965055,11250,409,740,0,0-00
965056,11250,443,6600,0,0-00
965184,11469,501,6923,0,0-00
965185,11469,453,5771,0,0-00
965186,11463,431,0,8407,44-06
965222,11464,61,1502,0,0-00
965223,11464,215,5581,0,0-00
965225,11124,578,4955,0,0-00
965227,11124,1,7472,0,0-00
965288,11248,111,2353,0,0-00
965289,11248,12,2309,0,0-00
965524,11458,406,1311,0,0-00
965525,11458,584,383,0,0-00
965661,11467,176,5509,0,0-00
965662,11467,216,1126,0,0-00
965731,11446,214,4565,0,0-00
965732,11446,44,5516,0,0-00
965769,11467,216,0,1126,44-25
1002746,11447,189,10415,8360,37-11
959865,11113,49,222,0,0-00
959867,11113,46,4710,0,0-00
959880,11450,26,9322,0,0-00
959904,11450,205,2458,0,0-00
959937,11465,400,8820,0,0-00
960066,11262,48,7222,0,0-00
960067,11262,109,3075,0,0-00
960100,11465,499,8403,0,0-00
960375,11470,401,1435,0,0-00
960376,11470,489,8725,0,0-00
960568,11470,489,8728,8725,39-10
960571,11444,22,4435,0,0-00
960572,11444,402,8020,0,0-00
960576,11457,570,5090,0,0-00
960577,11457,584,383,0,0-00
960615,11455,582,769,0,0-00
960812,11451,446,9673,0,0-00
960813,11451,397,8952,0,0-00
960820,11459,448,7966,0,0-00
960822,11459,405,6923,0,0-00
960864,11249,239,938,0,0-00
960950,11459,448,0,7966,39-38
960965,11459,448,7966,0,40-49
961117,11249,63,520,0,0-00
961370,11278,191,6599,0,0-00
961371,11278,333,3717,0,0-00
961451,11279,579,777,0,0-00
961452,11279,35,2334,0,0-00
961487,11279,579,5464,777,19-09
961669,11449,438,10359,0,0-00
961670,11449,23,2559,0,0-00
961752,11118,564,2478,0,0-00
961753,11118,573,10416,0,0-00
961770,11264,497,9601,0,0-00
961771,11264,335,10425,0,0-00
961774,11123,442,7542,0,0-00
961775,11123,4,1376,0,0-00
961862,11468,445,5123,0,0-00
961863,11468,574,10406,0,0-00
961888,11455,566,10452,0,0-00
961931,11454,38,8945,0,0-00
961932,11454,491,5516,0,0-00
959490,11453,569,7923,0,0-00
959491,11453,8,1557,0,0-00
959616,11453,569,0,7923,43-25
956485,11489,511,8204,0,0-00
956486,11489,614,11212,0,0-00
956499,11260,335,10425,0,0-00
956500,11260,440,490,0,0-00
956558,11489,614,11213,11212,25-37
956674,11490,470,7572,0,0-00
956675,11490,613,8348,0,0-00
956761,11387,445,5736,0,0-00
956762,11387,411,5717,0,0-00
956823,11490,470,7366,7572,25-59
956926,11490,470,0,7366,44-24
956929,11383,448,7966,0,0-00
956930,11383,577,8431,0,0-00
956931,11387,411,0,5717,44-15
956933,11387,411,5717,0,44-41
957201,11272,92,2056,0,0-00
957202,11272,494,154,0,0-00
957238,11363,498,3717,0,0-00
957239,11363,214,8012,0,0-00
957282,11362,329,4246,0,0-00
957578,11272,92,0,2056,41-00
957581,11272,92,2056,0,42-51
957621,11272,92,0,2056,44-13
957624,11367,402,8020,0,0-00
957625,11367,438,10359,0,0-00
957831,11112,29,6055,0,0-00
957832,11112,580,4372,0,0-00
957841,11247,443,6600,0,0-00
957842,11247,409,740,0,0-00
957881,11384,65,5774,0,0-00
957882,11384,566,1517,0,0-00
957939,11382,582,769,0,0-00
957940,11382,332,1060,0,0-00
958106,11275,333,4182,0,0-00
958107,11275,393,8010,0,0-00
958144,11273,35,9601,0,0-00
958145,11273,452,7821,0,0-00
958162,11382,332,5212,1060,30-00
958176,11418,564,2478,0,0-00
958177,11418,1,7472,0,0-00
958204,11117,46,4710,0,0-00
958205,11117,578,5464,0,0-00
958295,11245,239,306,0,0-00
958296,11245,111,2353,0,0-00
958370,11381,504,4294,0,0-00
958371,11381,502,8829,0,0-00
958465,11392,375,4360,0,0-00
958466,11392,431,10403,0,0-00
958506,11245,239,0,306,44-35
958511,11245,239,306,0,44-35
958516,11393,451,1365,0,0-00
958517,11393,449,1194,0,0-00
958593,11261,410,6068,0,0-00
958594,11261,497,2764,0,0-00
958659,11392,431,0,10403,44-26
958675,11393,451,0,6920,44-40
958722,11395,489,8725,0,0-00
958723,11395,501,6923,0,0-00
958746,11246,63,520,0,0-00
958747,11246,12,2309,0,0-00
958758,11395,489,8728,8725,34-03
958779,11246,12,0,2309,43-50
958781,11246,12,2309,0,44-45
958784,11362,189,10415,0,0-00
958851,11392,431,10403,0,15-00
953873,11434,614,11212,0,0-00
953874,11434,470,7572,0,0-00
953909,11434,614,11213,11212,8-31
953945,11122,505,9341,0,0-00
953946,11122,49,6599,0,0-00
953986,11364,23,2559,0,0-00
953987,11364,336,1557,0,0-00
953990,11434,470,7366,7572,22-30
954116,11372,26,9322,0,0-00
954118,11372,269,2438,0,0-00
954190,11122,505,520,9341,33-11
954220,11435,511,7731,0,0-00
954221,11435,613,10827,0,0-00
