ID,ID game,ID player,ID team,total time on ice,throws by,a shot on target,accurate transmission,blocked throws,skill,amplua
546,101,1003,4,160,0,1,0,1,0.0,10.0
547,101,492,4,161,0,1,2,0,0.0,10.0
548,101,1006,4,40,0,1,1,0,11.0,10.0
549,101,1007,4,0,0,0,0,0,0.0,10.0
550,101,280,4,0,0,0,0,0,0.0,10.0
551,101,1009,4,0,0,0,0,0,0.0,10.0
552,101,786,6,0,0,0,0,0,6.0,8.0
553,101,803,6,0,0,0,0,0,0.0,9.0
554,101,140,6,0,0,0,0,0,0.0,10.0
555,101,778,6,0,0,0,0,0,0.0,9.0
556,101,905,6,0,0,0,0,0,0.0,9.0
557,101,903,6,0,0,0,0,0,0.0,10.0
558,101,790,6,0,0,0,0,0,0.0,10.0
559,101,800,6,0,0,0,0,0,0.0,10.0
560,101,794,6,0,0,0,0,0,5.0,10.0
561,101,900,6,0,0,0,0,0,2.0,10.0
562,101,802,6,0,0,0,0,0,0.0,10.0
563,101,798,6,0,0,0,0,0,0.0,10.0
564,101,782,6,0,0,0,0,0,0.0,10.0
565,6556,938,239,0,0,0,0,0,0.0,8.0
566,6556,5192,239,0,0,0,0,0,0.0,9.0
567,6556,456,239,0,0,0,0,0,0.0,9.0
568,6556,207,239,0,0,0,0,0,0.0,9.0
569,6556,2474,239,0,0,0,0,0,0.0,10.0
570,6556,883,239,0,0,0,0,0,9.0,10.0
571,6556,4632,239,0,0,0,0,0,0.0,10.0
572,6556,4634,239,0,0,0,0,0,0.0,10.0
573,6556,7154,239,0,0,0,0,0,1.0,9.0
574,6556,4633,239,0,0,0,0,0,0.0,10.0
575,6556,4631,239,0,0,0,0,0,0.0,10.0
576,6556,6216,239,0,0,0,0,0,11.0,10.0
577,6556,7208,35,0,0,0,0,0,11.0,8.0
578,6556,1304,35,1158,4,2,0,0,9.0,10.0
579,6556,755,35,1026,2,3,0,2,14.0,10.0
580,6556,3452,35,487,0,0,0,0,0.0,9.0
581,6556,4541,35,464,0,0,0,1,0.0,10.0
582,6556,765,35,791,3,0,0,0,0.0,9.0
583,6556,759,35,915,1,0,0,1,8.0,9.0
584,6556,3449,35,964,1,1,0,2,11.0,10.0
585,6556,990,35,847,2,4,0,0,0.0,10.0
586,6556,763,35,448,0,0,0,0,0.0,10.0
587,6556,988,35,1048,2,3,0,1,14.0,10.0
588,6556,1576,35,1095,0,1,0,0,0.0,10.0
589,6556,3456,35,1127,3,2,0,0,11.0,10.0
590,6556,4329,35,481,1,2,0,1,0.0,9.0
591,6556,378,35,1065,4,4,0,0,0.0,10.0
592,6556,366,35,831,1,1,0,0,0.0,10.0
593,6557,995,31,0,0,0,0,0,0.0,8.0
594,6557,524,31,0,0,0,0,0,0.0,9.0
595,6557,696,31,0,0,0,0,0,0.0,9.0
596,6557,2894,31,0,0,0,0,0,9.0,9.0
597,6557,693,31,0,0,0,0,0,0.0,9.0
598,6557,1373,31,0,0,0,0,0,4.0,10.0
599,6557,187,31,0,0,0,0,0,0.0,10.0
600,6557,2897,31,0,0,0,0,0,0.0,10.0
601,6557,1116,31,0,0,0,0,0,11.0,10.0
602,6557,2895,31,0,0,0,0,0,0.0,10.0
603,6557,281,31,0,0,0,0,0,0.0,10.0
604,6557,1575,31,0,0,0,0,0,0.0,10.0
605,6557,4489,31,0,0,0,0,0,0.0,10.0
606,6557,182,31,0,0,0,0,0,9.0,10.0
607,6557,4485,31,0,0,0,0,0,0.0,10.0
608,6557,188,209,0,0,0,0,0,11.0,8.0
609,6557,5245,209,1173,1,1,0,1,0.0,9.0
610,6557,2209,209,1285,0,2,0,0,0.0,9.0
611,6557,910,209,1119,2,2,0,0,0.0,9.0
612,6557,5244,209,805,0,0,0,1,0.0,9.0
613,6557,648,209,876,0,4,0,0,0.0,10.0
614,6557,4546,209,434,0,0,0,1,0.0,10.0
615,6557,2300,209,543,0,1,0,0,0.0,10.0
616,6557,4548,209,850,3,8,0,0,11.0,10.0
617,6557,6891,209,907,1,3,0,0,11.0,10.0
