ID,ID game,ID player,ID team,None,total time on ice,throws by,a shot on target,blocked throws,skill,amplua
1123.0,6863,1478.0,335,,960.0,2.0,4.0,,0.0,10.0
1124.0,6863,5740.0,335,,1036.0,1.0,1.0,,0.0,10.0
1125.0,6863,6311.0,335,,721.0,1.0,,,0.0,10.0
1126.0,6863,2559.0,23,,,,,,0.0,8.0
1127.0,6863,4850.0,23,,1136.0,1.0,2.0,,0.0,10.0
1128.0,6863,1551.0,23,,1520.0,4.0,1.0,2.0,0.0,9.0
1129.0,6863,185.0,23,,1490.0,,2.0,2.0,0.0,10.0
1130.0,6863,1550.0,23,,1152.0,2.0,2.0,3.0,0.0,9.0
1131.0,6863,6479.0,23,,779.0,,4.0,,0.0,10.0
1132.0,6863,5223.0,23,,836.0,2.0,2.0,,0.0,10.0
1133.0,6863,6291.0,23,,846.0,2.0,1.0,1.0,0.0,10.0
1134.0,6863,2743.0,23,,917.0,,3.0,,0.0,10.0
1135.0,6863,3274.0,23,,392.0,,3.0,,0.0,10.0
1136.0,6863,876.0,23,,759.0,3.0,4.0,,0.0,10.0
1137.0,6863,4184.0,23,,978.0,4.0,7.0,2.0,0.0,10.0
1138.0,6863,7781.0,23,,1231.0,1.0,8.0,2.0,0.0,10.0
1139.0,6863,4183.0,23,,609.0,1.0,1.0,,0.0,10.0
1140.0,6867,7222.0,406,,,,,,0.0,8.0
1142.0,6867,7760.0,406,,1199.0,3.0,4.0,,0.0,9.0
1143.0,6867,7233.0,406,,1184.0,3.0,2.0,2.0,0.0,9.0
1144.0,6867,6938.0,406,,687.0,3.0,,2.0,0.0,10.0
1145.0,6867,7759.0,406,,821.0,2.0,,1.0,0.0,9.0
1146.0,6867,104.0,406,,815.0,,,,0.0,9.0
1147.0,6867,2203.0,406,,935.0,4.0,1.0,,0.0,10.0
1148.0,6867,5613.0,406,,742.0,5.0,2.0,,0.0,10.0
1149.0,6867,6933.0,406,,629.0,2.0,2.0,,0.0,10.0
1150.0,6867,7567.0,406,,949.0,,7.0,1.0,0.0,10.0
1151.0,6867,7626.0,406,,641.0,,1.0,1.0,0.0,9.0
1152.0,6867,7757.0,406,,888.0,2.0,2.0,,0.0,10.0
1153.0,6867,6937.0,406,,658.0,1.0,1.0,,0.0,10.0
1154.0,6867,7756.0,406,,551.0,,1.0,,0.0,10.0
1155.0,6867,6936.0,406,,710.0,,,,0.0,10.0
1156.0,6867,7816.0,439,,,,,,0.0,8.0
1158.0,6867,2900.0,439,,1129.0,3.0,2.0,,0.0,9.0
1159.0,6867,1232.0,439,,719.0,,,1.0,0.0,9.0
1160.0,6867,7803.0,439,,1046.0,1.0,1.0,6.0,0.0,9.0
1161.0,6867,7817.0,439,,384.0,,,1.0,0.0,9.0
1162.0,6867,6879.0,439,,1029.0,4.0,2.0,1.0,0.0,9.0
1163.0,6867,7805.0,439,,967.0,,,1.0,0.0,9.0
1164.0,6867,7814.0,439,,345.0,,,,0.0,10.0
1165.0,6867,7808.0,439,,657.0,2.0,1.0,,,
1166.0,6867,4331.0,439,,1220.0,2.0,4.0,,0.0,10.0
1167.0,6867,7804.0,439,,415.0,,,,0.0,10.0
1168.0,6867,2321.0,439,,1117.0,1.0,3.0,,0.0,10.0
1169.0,6867,7807.0,439,,1074.0,2.0,1.0,,0.0,9.0
1170.0,6867,7806.0,439,,453.0,,,,0.0,10.0
1171.0,6867,7802.0,439,,934.0,1.0,5.0,,0.0,10.0
1172.0,6867,7815.0,439,,1202.0,1.0,5.0,,0.0,10.0
1173.0,6838,2764.0,431,,,,,,0.0,8.0
1174.0,6838,7715.0,431,,812.0,,,2.0,0.0,9.0
1175.0,6838,4177.0,431,,802.0,3.0,,,0.0,9.0
1176.0,6838,7192.0,431,,894.0,,,,0.0,9.0
1177.0,6838,8.0,431,,967.0,1.0,2.0,,0.0,9.0
