ID game,ID team,rating,date,old_rating
<<<<<<< HEAD
10843,400.0,-113.22,2024-09-15,-43.7
10843,439.0,516.55,2024-09-15,424.45
10845,215.0,272.18,2024-09-15,246.93
10845,216.0,404.43,2024-09-15,-95.66
10846,61.0,-680.63,2024-09-15,0.01
10846,499.0,-235.14,2024-09-15,-143.53
10849,502.0,-153.34,2024-09-15,-293.08
10849,568.0,588.33,2024-09-15,824.5
10850,405.0,395.15,2024-09-15,498.4
10850,504.0,-317.81,2024-09-15,-6.83
10855,129.0,126.51,2024-09-15,228.1
10855,446.0,357.08,2024-09-15,249.84
10856,8.0,-185.47,2024-09-15,-55.32
10856,581.0,326.95,2024-09-15,0.0
10858,23.0,452.85,2024-09-15,437.59
10858,402.0,428.39,2024-09-15,146.07
10859,189.0,45.28,2024-09-15,-269.11
10859,438.0,928.58,2024-09-15,479.19
10860,329.0,89.4,2024-09-15,-123.91
10860,498.0,706.01,2024-09-15,361.41
10726,29.0,641.57,2024-09-21,658.01
10726,46.0,-105.66,2024-09-21,56.26
10727,17.0,973.56,2024-09-21,838.14
10727,447.0,-404.65,2024-09-21,-222.16
10747,31.0,403.55,2024-09-21,457.51
10747,452.0,313.25,2024-09-21,241.28
10750,92.0,-266.53,2024-09-21,30.16
10750,579.0,382.4,2024-09-21,72.67
10862,63.0,343.81,2024-09-21,286.68
10862,409.0,214.55,2024-09-21,299.58
10868,408.0,920.12,2024-09-21,1020.12
10868,440.0,253.49,2024-09-21,113.43
10870,410.0,-324.26,2024-09-21,-160.96
10870,497.0,295.9,2024-09-21,531.12
10871,208.0,95.12,2024-09-21,-113.44
10871,379.0,-66.87,2024-09-21,71.42
10874,207.0,-60.59,2024-09-21,-36.47
10874,498.0,772.0,2024-09-21,706.01
10878,129.0,55.65,2024-09-21,126.51
10878,397.0,1092.23,2024-09-21,1071.87
10880,26.0,-486.27,2024-09-21,-523.86
10880,446.0,121.94,2024-09-21,357.08
10882,406.0,362.79,2024-09-21,-82.68
10882,566.0,787.26,2024-09-21,412.94
10884,130.0,338.26,2024-09-21,788.18
10884,215.0,8.87,2024-09-21,272.18
10886,331.0,-397.97,2024-09-21,-209.45
10886,448.0,-38.63,2024-09-21,431.21
10889,568.0,793.44,2024-09-21,588.33
10889,577.0,28.57,2024-09-21,72.44
10890,405.0,139.19,2024-09-21,395.15
10890,502.0,-103.39,2024-09-21,-153.34
10725,56.0,567.47,2024-09-22,508.95
10725,578.0,581.95,2024-09-22,390.62
10728,4.0,-962.5,2024-09-22,-579.16
10728,564.0,23.55,2024-09-22,113.26
10729,1.0,730.49,2024-09-22,527.22
10729,49.0,516.14,2024-09-22,671.94
10730,505.0,168.21,2024-09-22,274.36
10730,580.0,712.34,2024-09-22,585.66
10746,393.0,139.29,2024-09-22,-90.69
10746,396.0,-1044.28,2024-09-22,-944.79
10861,111.0,419.21,2024-09-22,214.0
10861,239.0,443.09,2024-09-22,495.95
10863,12.0,-272.97,2024-09-22,-550.88
10863,443.0,214.04,2024-09-22,81.17
10875,214.0,180.96,2024-09-22,186.76
10875,336.0,119.24,2024-09-22,158.27
10876,44.0,272.55,2024-09-22,154.31
10876,402.0,846.99,2024-09-22,428.39
10877,269.0,688.29,2024-09-22,852.02
10877,569.0,133.58,2024-09-22,136.39
10879,38.0,-317.9,2024-09-22,-690.68
10879,581.0,364.89,2024-09-22,326.95
10881,8.0,191.12,2024-09-22,-185.47
10881,205.0,730.91,2024-09-22,502.01
10885,398.0,511.06,2024-09-22,356.96
10885,574.0,-653.72,2024-09-22,-112.53
10888,332.0,792.09,2024-09-22,21.26
10888,570.0,164.13,2024-09-22,-122.96
10891,176.0,185.16,2024-09-22,-356.99
10891,445.0,-1123.84,2024-09-22,-498.34
10892,431.0,319.49,2024-09-22,531.12
10892,499.0,-149.4,2024-09-22,-235.14
10893,104.0,361.82,2024-09-22,390.27
10893,489.0,1142.43,2024-09-22,472.87
10894,245.0,140.77,2024-09-22,200.12
10894,449.0,-114.89,2024-09-22,167.24
10895,401.0,-926.17,2024-09-22,-340.38
10895,545.0,-481.08,2024-09-22,-729.14
10896,451.0,-659.51,2024-09-22,-697.85
10896,501.0,-74.6,2024-09-22,96.0
10897,216.0,290.22,2024-09-22,404.43
10897,439.0,832.6,2024-09-22,516.55
10898,375.0,608.85,2024-09-22,438.85
10898,411.0,-13.34,2024-09-22,262.33
10731,442.0,-22.85,2024-09-28,83.18
10731,573.0,1116.05,2024-09-28,547.16
10737,49.0,201.86,2024-09-28,516.14
10737,447.0,-523.92,2024-09-28,-404.65
10754,92.0,-166.29,2024-09-28,-266.53
10754,191.0,910.63,2024-09-28,1467.44
10901,402.0,797.78,2024-09-28,846.99
10901,498.0,340.8,2024-09-28,772.0
10907,109.0,-30.24,2024-09-28,-125.46
10907,208.0,-97.29,2024-09-28,95.12
10908,379.0,-20.9,2024-09-28,-66.87
10908,440.0,217.86,2024-09-28,253.49
10910,335.0,112.53,2024-09-28,-73.67
10910,410.0,-320.24,2024-09-28,-324.26
10912,38.0,-54.56,2024-09-28,-317.9
10912,569.0,288.13,2024-09-28,133.58
10914,269.0,553.03,2024-09-28,688.29
10914,446.0,81.94,2024-09-28,121.94
10915,8.0,61.23,2024-09-28,191.12
10915,129.0,211.48,2024-09-28,55.65
10916,205.0,548.04,2024-09-28,730.91
10916,581.0,12.46,2024-09-28,364.89
10917,375.0,382.75,2024-09-28,608.85
10917,400.0,-35.8,2024-09-28,-113.22
10920,216.0,203.97,2024-09-28,290.22
10920,445.0,-822.97,2024-09-28,-1123.84
10921,61.0,-510.33,2024-09-28,-680.63
10921,574.0,-472.39,2024-09-28,-653.72
10924,448.0,-175.94,2024-09-28,-38.63
10924,504.0,-344.17,2024-09-28,-317.81
10926,405.0,235.49,2024-09-28,139.19
10926,568.0,596.57,2024-09-28,793.44
10732,1.0,673.06,2024-09-29,730.49
10732,573.0,916.9,2024-09-29,1116.05
10733,4.0,-821.89,2024-09-29,-962.5
10733,578.0,705.74,2024-09-29,581.95
10735,17.0,1178.66,2024-09-29,973.56
10735,56.0,337.25,2024-09-29,567.47
10736,46.0,-211.89,2024-09-29,-105.66
10736,505.0,620.24,2024-09-29,168.21
10751,452.0,331.25,2024-09-29,313.25
10751,494.0,603.8,2024-09-29,691.48
10752,31.0,161.02,2024-09-29,403.55
10752,393.0,441.04,2024-09-29,139.29
10753,333.0,363.66,2024-09-29,533.99
10753,396.0,-561.25,2024-09-29,-1044.28
10755,15.0,122.73,2024-09-29,49.57
10755,191.0,949.5,2024-09-29,910.63
10756,35.0,442.52,2024-09-29,575.43
10756,579.0,213.4,2024-09-29,382.4
