ID game,ID team,ID player,missed pucks,total throws,% of reflected shots
7363.00,64.00,7222.00,6.00,40.00,85.00
7363.00,335.00,7618.00,7.00,21.00,66.67
7005.00,4.00,998.00,4.00,26.00,84.62
7005.00,46.00,5751.00,6.00,32.00,81.25
7370.00,176.00,5509.00,0.00,6.00,100.00
7370.00,451.00,573.00,5.00,36.00,86.11
7364.00,411.00,5723.00,3.00,27.00,88.89
7361.00,205.00,1046.00,0.00,3.00,100.00
7361.00,61.00,8318.00,6.00,21.00,71.43
7078.00,452.00,7821.00,3.00,15.00,80.00
7078.00,396.00,6488.00,0.00,37.00,100.00
7378.00,189.00,5121.00,0.00,26.00,100.00
7378.00,38.00,5779.00,3.00,29.00,89.66
7358.00,211.00,2458.00,2.00,14.00,85.71
7358.00,410.00,6068.00,3.00,20.00,85.00
7360.00,405.00,4482.00,7.00,34.00,79.41
7360.00,443.00,6600.00,2.00,19.00,89.47
7079.00,31.00,995.00,0.00,10.00,100.00
7079.00,399.00,7472.00,3.00,52.00,94.23
7357.00,450.00,4933.00,5.00,36.00,86.11
7357.00,408.00,667.00,1.00,18.00,94.44
7379.00,375.00,4360.00,2.00,20.00,90.00
7379.00,431.00,8020.00,1.00,23.00,95.65
7009.00,49.00,222.00,3.00,33.00,90.91
7009.00,4.00,998.00,7.00,31.00,77.42
7403.00,438.00,6325.00,4.00,23.00,82.61
7403.00,406.00,6923.00,6.00,27.00,77.78
7490.00,214.00,4565.00,6.00,18.00,66.67
7490.00,336.00,5774.00,3.00,24.00,87.50
7402.00,404.00,7144.00,4.00,12.00,66.67
7402.00,215.00,5581.00,5.00,30.00,83.33
7397.00,207.00,4545.00,0.00,26.00,100.00
7397.00,448.00,7970.00,4.00,21.00,80.95
7399.00,38.00,5779.00,2.00,10.00,80.00
7399.00,110.00,3072.00,5.00,40.00,87.50
7383.00,48.00,4182.00,3.00,27.00,88.89
7383.00,379.00,71.00,2.00,25.00,92.00
7386.00,409.00,1308.00,10.00,27.00,62.96
7386.00,333.00,2478.00,2.00,26.00,92.31
7385.00,191.00,6599.00,5.00,25.00,80.00
7385.00,131.00,520.00,4.00,29.00,86.21
7011.00,56.00,995.00,2.00,27.00,92.59
7384.00,208.00,979.00,5.00,20.00,75.00
7387.00,401.00,6045.00,9.00,38.00,76.32
7387.00,431.00,8020.00,1.00,13.00,92.31
7389.00,408.00,667.00,7.00,30.00,76.67
7389.00,200.00,4257.00,0.00,26.00,100.00
7401.00,445.00,8403.00,4.00,30.00,86.67
7401.00,216.00,1126.00,2.00,16.00,87.50
7406.00,451.00,573.00,4.00,28.00,85.71
7406.00,453.00,7934.00,3.00,11.00,72.73
7010.00,46.00,5751.00,2.00,25.00,92.00
7407.00,449.00,1194.00,5.00,47.00,89.36
7394.00,332.00,1194.00,4.00,36.00,88.89
7394.00,205.00,1046.00,2.00,5.00,60.00
7084.00,35.00,222.00,4.00,51.00,92.16
7084.00,239.00,2478.00,2.00,27.00,92.59
7391.00,138.00,5123.00,6.00,28.00,78.57
7391.00,211.00,2458.00,3.00,24.00,87.50
7393.00,26.00,2459.00,4.00,19.00,78.95
7398.00,402.00,5769.00,3.00,16.00,81.25
7404.00,65.00,5774.00,2.00,21.00,90.48
