ID game,ID team,ID opponent,result,GT,timeT,TB_T,ShotT,BT_T,PM_T,As_T,As_T_2,GO,timeO,TB_O,ShotO,BT_O,PM_O,As_O,As_O_2,refl_sh_T,refl_sh_O,ID season,stage,division,date,ELO,ELO_O,E_S,E_S_O,ELO_old,ELO_O_old
7251,216,215,L,4.00,14216.00,23.00,35.00,5.00,-5.00,2.00,1.00,5.00,13592.00,14.00,17.00,7.00,5.00,3.00,1.00,,,67.00,1,4,2022-09-24,1060.55,1123.37,0.48,0.52,1083.92,1100.00
7252,446,445,W,6.00,12990.00,18.00,35.00,5.00,15.00,3.00,1.00,2.00,13323.00,20.00,14.00,7.00,-15.00,2.00,0.00,,,67.00,1,4,2022-09-24,1100.59,1058.83,0.49,0.51,1075.50,1083.92
7255,397,401,W,7.00,12040.00,24.00,31.00,4.00,19.00,3.00,1.00,1.00,12881.00,15.00,14.00,6.00,-20.00,1.00,1.00,92.86,77.42,67.00,1,5,2022-09-24,1026.10,996.67,0.47,0.53,1000.00,1022.78
7258,406,132,L,0.00,12698.00,23.00,34.00,6.00,-10.00,0.00,0.00,3.00,11715.00,14.00,15.00,11.00,10.00,3.00,1.00,80.00,100.00,67.00,1,4,2022-09-24,1100.00,1149.00,0.50,0.50,1124.50,1124.50
7259,439,451,W,14.00,12481.00,20.00,48.00,1.00,46.00,10.00,3.00,1.00,11977.00,9.00,10.00,9.00,-43.00,1.00,1.00,90.00,70.83,67.00,1,5,2022-09-24,1045.57,954.43,0.57,0.43,1024.50,975.50
7260,375,400,W,6.00,12360.00,23.00,30.00,2.00,15.00,6.00,1.00,1.00,12486.00,12.00,19.00,8.00,-15.00,1.00,0.00,94.74,80.00,67.00,1,5,2022-09-24,1044.01,933.22,0.60,0.40,1024.50,952.72
6990,1,49,W,6.00,12372.00,21.00,31.00,8.00,1.00,5.00,3.00,5.00,12815.00,19.00,24.00,7.00,-1.00,4.00,2.00,79.17,80.65,68.00,1,0,2022-09-25,1547.28,1477.22,0.54,0.46,1524.50,1500.00
6991,56,447,W,5.00,10848.00,19.00,22.00,5.00,14.00,4.00,2.00,2.00,11360.00,17.00,9.00,7.00,-16.00,0.00,0.00,77.78,77.27,68.00,1,0,2022-09-25,1549.00,1500.00,0.50,0.50,1524.50,1524.50
7061,12,31,W,4.00,13412.00,11.00,21.00,8.00,-5.00,1.00,0.00,3.00,14017.00,30.00,49.00,4.00,4.00,1.00,0.00,93.88,80.95,68.00,1,1,2022-09-25,1401.74,1376.95,0.46,0.54,1375.26,1403.43
7062,239,396,W,3.00,11764.00,30.00,30.00,2.00,10.00,3.00,3.00,1.00,11531.00,4.00,11.00,12.00,-10.00,1.00,0.00,90.91,90.00,68.00,1,1,2022-09-25,1433.71,1376.20,0.51,0.49,1409.91,1400.00
7063,399,111,L,2.00,10880.00,18.00,21.00,2.00,-18.00,2.00,1.00,6.00,10560.00,10.00,29.00,6.00,18.00,6.00,3.00,79.31,90.48,68.00,1,1,2022-09-25,1381.71,1508.38,0.37,0.63,1400.00,1490.09
7064,35,15,W,8.00,12105.00,24.00,29.00,6.00,13.00,8.00,7.00,5.00,13411.00,15.00,28.00,4.00,-16.00,5.00,2.00,82.14,72.41,68.00,1,1,2022-09-25,1446.03,1399.78,0.50,0.50,1421.31,1424.50
7240,191,208,W,7.00,12558.00,13.00,39.00,2.00,14.00,6.00,0.00,1.00,12311.00,12.00,28.00,8.00,-15.00,1.00,0.00,96.43,82.05,67.00,1,0,2022-09-25,1520.09,1452.52,0.53,0.47,1497.12,1475.50
7244,448,44,L,1.00,12843.00,9.00,17.00,3.00,-30.00,0.00,0.00,8.00,12725.00,12.00,32.00,5.00,30.00,6.00,4.00,75.00,94.12,67.00,1,3,2022-09-25,1159.31,1245.93,0.44,0.56,1180.74,1224.50
7246,450,443,L,4.00,7906.00,10.00,10.00,3.00,-15.00,3.00,0.00,7.00,8126.00,18.00,24.00,4.00,15.00,5.00,3.00,70.83,60.00,67.00,1,1,2022-09-25,1391.69,1403.07,0.56,0.44,1419.26,1375.50
7247,408,329,W,7.00,12110.00,17.00,33.00,2.00,25.00,6.00,0.00,1.00,12553.00,11.00,23.00,1.00,-25.00,0.00,0.00,95.65,,67.00,1,1,2022-09-25,1449.00,1400.00,0.50,0.50,1424.50,1424.50
7248,187,63,L,3.00,12295.00,7.00,16.00,6.00,-11.00,1.00,1.00,8.00,12800.00,14.00,30.00,2.00,11.00,5.00,2.00,73.33,,67.00,1,0,2022-09-25,1437.25,1293.28,0.78,0.22,1475.50,1255.03
7249,109,48,L,2.00,12752.00,16.00,24.00,4.00,-19.00,2.00,2.00,8.00,12473.00,6.00,24.00,7.00,18.00,7.00,1.00,66.67,91.67,67.00,1,0,2022-09-25,1454.43,1545.57,0.43,0.57,1475.50,1524.50
7253,402,38,W,4.00,13096.00,17.00,29.00,4.00,5.00,4.00,1.00,3.00,12779.00,10.00,22.00,6.00,-5.00,3.00,0.00,86.36,,67.00,1,3,2022-09-25,1253.89,1265.37,0.40,0.60,1224.50,1294.76
7254,411,431,W,2.00,12806.00,11.00,28.00,1.00,5.00,2.00,0.00,1.00,12735.00,7.00,10.00,6.00,-6.00,0.00,0.00,90.00,92.86,67.00,1,5,2022-09-25,1003.43,996.57,0.43,0.57,975.50,1024.50
7256,205,104,W,3.00,13000.00,11.00,25.00,1.00,15.00,3.00,2.00,0.00,13114.00,10.00,14.00,7.00,-13.00,0.00,0.00,100.00,88.00,67.00,1,4,2022-09-25,1254.24,1061.84,0.72,0.28,1240.58,1075.50
7257,8,269,L,4.00,11972.00,21.00,19.00,3.00,-5.00,3.00,0.00,8.00,11362.00,12.00,30.00,6.00,6.00,6.00,3.00,73.33,78.95,67.00,1,3,2022-09-25,1154.43,1245.57,0.43,0.57,1175.50,1224.50
6995,442,1,L,3.00,13065.00,16.00,38.00,5.00,-30.00,2.00,0.00,8.00,13428.00,18.00,40.00,6.00,30.00,6.00,2.00,,92.11,68.00,1,0,2022-10-01,1500.00,1570.05,0.46,0.54,1522.78,1547.28
7263,208,187,L,1.00,12982.00,18.00,28.00,1.00,-30.00,1.00,0.00,6.00,12817.00,13.00,18.00,10.00,30.00,6.00,2.00,66.67,96.43,67.00,1,0,2022-10-01,1426.95,1462.83,0.52,0.48,1452.52,1437.25
7264,333,109,W,7.00,13044.00,26.00,36.00,8.00,25.00,7.00,3.00,1.00,13240.00,20.00,20.00,6.00,-24.00,1.00,0.00,95.00,80.56,67.00,1,0,2022-10-01,1565.38,1436.33,0.63,0.37,1547.28,1454.43
7265,129,23,L,3.00,12098.00,24.00,25.00,3.00,0.00,3.00,0.00,4.00,12188.00,17.00,35.00,7.00,0.00,2.00,1.00,88.57,88.00,67.00,1,2,2022-10-01,1300.00,1349.00,0.50,0.50,1324.50,1324.50
7266,214,64,W,4.00,12753.00,16.00,33.00,11.00,11.00,4.00,1.00,2.00,12699.00,22.00,19.00,2.00,-11.00,1.00,0.00,89.47,87.88,67.00,1,2,2022-10-01,1349.00,1300.00,0.50,0.50,1324.50,1324.50
7268,403,441,L,1.00,12411.00,20.00,25.00,9.00,-25.00,1.00,0.00,9.00,13232.00,20.00,34.00,2.00,25.00,7.00,0.00,73.53,96.00,67.00,1,2,2022-10-01,1251.00,1300.00,0.50,0.50,1275.50,1275.50
7269,22,336,L,1.00,11680.00,21.00,21.00,5.00,-15.00,1.00,1.00,4.00,12862.00,12.00,22.00,3.00,14.00,2.00,0.00,81.82,95.24,67.00,1,2,2022-10-01,1251.00,1300.00,0.50,0.50,1275.50,1275.50
7270,132,61,W,5.00,12873.00,19.00,22.00,2.00,14.00,2.00,0.00,0.00,12607.00,14.00,26.00,4.00,-15.00,0.00,0.00,100.00,77.27,67.00,1,4,2022-10-01,1177.66,1179.86,0.42,0.58,1149.00,1208.52
7272,205,215,W,7.00,12574.00,21.00,25.00,3.00,30.00,4.00,0.00,0.00,12833.00,7.00,13.00,6.00,-30.00,0.00,0.00,100.00,,67.00,1,4,2022-10-01,1269.93,1107.68,0.68,0.32,1254.24,1123.37
7274,216,406,W,3.00,12707.00,13.00,21.00,3.00,10.00,3.00,1.00,2.00,12751.00,13.00,17.00,6.00,-10.00,1.00,0.00,88.24,85.71,67.00,1,4,2022-10-01,1087.82,1072.73,0.44,0.56,1060.55,1100.00
7275,438,404,W,7.00,12745.00,15.00,29.00,3.00,10.00,7.00,1.00,1.00,12373.00,12.00,18.00,6.00,-10.00,1.00,1.00,94.44,75.86,67.00,1,4,2022-10-01,1151.62,1134.68,0.45,0.55,1124.50,1161.80
7276,176,130,L,1.00,12331.00,10.00,16.00,5.00,-14.00,1.00,0.00,4.00,12208.00,16.00,32.00,3.00,14.00,2.00,0.00,87.50,93.75,67.00,1,5,2022-10-01,1021.07,1070.07,0.50,0.50,1045.57,1045.57
7277,401,411,L,3.00,12396.00,8.00,13.00,7.00,-16.00,3.00,1.00,10.00,13303.00,7.00,31.00,2.00,15.00,9.00,1.00,67.74,76.92,67.00,1,5,2022-10-01,972.65,1027.46,0.49,0.51,996.67,1003.43
7280,331,448,W,2.00,12587.00,16.00,25.00,3.00,10.00,2.00,0.00,0.00,13192.00,9.00,6.00,4.00,-10.00,0.00,0.00,100.00,92.00,67.00,1,3,2022-10-01,1218.45,1137.43,0.55,0.45,1196.57,1159.31
7281,269,26,L,1.00,13236.00,19.00,20.00,5.00,-10.00,1.00,0.00,3.00,12284.00,12.00,15.00,13.00,9.00,2.00,0.00,80.00,95.00,67.00,1,3,2022-10-01,1221.07,1270.07,0.50,0.50,1245.57,1245.57
7283,44,38,L,1.00,12800.00,35.00,21.00,4.00,-15.00,0.00,0.00,5.00,12339.00,15.00,22.00,10.00,15.00,4.00,0.00,77.27,95.24,67.00,1,3,2022-10-01,1222.80,1288.50,0.47,0.53,1245.93,1265.37
7286,400,439,L,1.00,12337.00,12.00,15.00,10.00,0.00,0.00,0.00,2.00,13130.00,18.00,36.00,4.00,0.00,2.00,2.00,94.44,93.33,67.00,1,5,2022-10-01,916.37,1062.41,0.34,0.66,933.22,1045.57
7287,453,431,L,0.00,12471.00,13.00,8.00,4.00,-45.00,0.00,0.00,9.00,12365.00,26.00,35.00,0.00,44.00,7.00,4.00,74.29,100.00,67.00,1,5,2022-10-01,932.89,1018.11,0.44,0.56,954.43,996.57
7288,63,409,W,5.00,12585.00,14.00,31.00,5.00,15.00,2.00,0.00,3.00,12788.00,15.00,24.00,3.00,-15.00,2.00,2.00,87.50,83.87,67.00,1,0,2022-10-01,1332.03,1485.74,0.21,0.79,1293.28,1524.50
6992,17,49,W,3.00,12989.00,19.00,28.00,5.00,5.00,2.00,1.00,2.00,13265.00,17.00,36.00,3.00,-6.00,1.00,1.00,94.44,89.29,68.00,1,0,2022-10-02,1478.95,1451.00,0.46,0.54,1452.72,1477.22
6993,447,4,L,1.00,11856.00,12.00,20.00,4.00,-6.00,1.00,0.00,4.00,11618.00,17.00,22.00,1.00,5.00,2.00,1.00,81.82,95.00,68.00,1,0,2022-10-02,1472.19,1480.54,0.57,0.43,1500.00,1452.72
