ID player,amplua,games,goals,p_goals,assists,p_assists,throws_by,p_throws_by,shot_on_target,p_shot_on_target,blocked_throws,p_blocked_throws,p_m,p_p_m,player_rating
1086.0,9.0,10,0.0,4.44,0.0,4.44,0.0,4.44,1.0,5.88,4.0,11.38,0.0,4.44,35.03
1087.0,9.0,14,0.0,6.22,0.0,6.22,3.0,10.87,1.0,7.63,3.0,10.87,-5.0,1.34,43.14
1093.0,9.0,60,3.0,30.82,1.0,28.02,30.0,81.67,23.0,66.15,47.0,126.15,-5.0,20.42,353.22
1100.0,9.0,46,0.0,20.44,9.0,34.21,55.0,159.54,34.0,90.91,35.0,93.74,28.0,74.82,473.66
1105.0,9.0,19,0.0,8.44,3.0,12.92,16.0,43.25,17.0,46.32,10.0,27.04,3.0,12.92,150.89
1107.0,9.0,12,4.0,12.0,4.0,12.0,27.0,102.08,21.0,70.08,9.0,24.08,-2.0,3.0,223.25
1119.0,9.0,42,5.0,25.93,5.0,25.93,36.0,97.52,63.0,197.17,27.0,72.02,-4.0,13.71,432.29
1128.0,9.0,32,0.0,14.22,0.0,14.22,16.0,43.56,19.0,50.84,11.0,32.67,2.0,17.01,172.52
1129.0,9.0,20,0.0,8.89,0.0,8.89,2.0,11.76,0.0,8.89,8.0,22.76,-9.0,0.94,62.12
1132.0,9.0,14,0.0,6.22,0.0,6.22,9.0,24.01,3.0,10.87,3.0,10.87,-6.0,0.79,58.98
1133.0,9.0,37,5.0,23.79,7.0,27.1,101.0,426.81,97.0,400.08,26.0,69.38,23.0,61.41,1008.57
1135.0,9.0,5,1.0,3.76,0.0,2.22,6.0,17.42,2.0,5.69,3.0,8.02,6.0,17.42,54.53
1136.0,9.0,24,1.0,12.04,4.0,16.67,21.0,57.04,22.0,60.17,9.0,26.04,-3.0,7.04,179.0
1143.0,9.0,8,2.0,6.72,0.0,3.56,9.0,25.68,6.0,16.06,4.0,10.89,-1.0,2.35,65.25
1157.0,9.0,33,5.0,22.09,5.0,22.09,55.0,179.67,45.0,136.03,37.0,105.48,13.0,37.12,502.48
1159.0,9.0,20,0.0,8.89,3.0,13.34,16.0,43.02,11.0,29.61,32.0,102.76,-14.0,0.02,197.63
1177.0,9.0,16,1.0,8.51,1.0,8.51,7.0,19.51,5.0,15.34,14.0,38.03,-6.0,1.36,91.25
1188.0,9.0,60,4.0,32.27,4.0,32.27,57.0,156.82,42.0,112.07,47.0,126.15,-16.0,9.6,469.17
1198.0,9.0,24,1.0,12.04,3.0,15.04,20.0,54.0,18.0,48.17,6.0,20.17,-5.0,5.04,154.46
1205.0,9.0,51,9.0,36.25,14.0,45.18,59.0,169.59,105.0,378.84,23.0,63.71,-38.0,0.31,693.88
1206.0,9.0,31,2.0,16.57,7.0,24.69,65.0,236.73,48.0,152.1,30.0,82.81,-5.0,7.92,520.83
1213.0,9.0,54,5.0,31.13,13.0,44.46,94.0,312.96,68.0,200.3,66.0,192.67,-60.0,10.67,792.19
1223.0,9.0,35,1.0,16.92,2.0,18.34,20.0,53.65,18.0,48.81,16.0,44.2,-32.0,2.15,184.07
1230.0,9.0,56,4.0,30.51,7.0,35.1,61.0,172.67,50.0,136.2,30.0,80.96,20.0,58.7,514.13
