ID player,amplua,games,goals,assists,assists_2,throws_by,shot_on_target,blocked_throws,p_m
678,10.0,17,1.0,1.0,0.0,21.0,9.0,6.0,2.0
680,10.0,85,50.0,53.0,13.0,168.0,326.0,13.0,24.0
681,9.0,54,5.0,5.0,3.0,62.0,71.0,33.0,-4.0
682,10.0,18,1.0,1.0,0.0,7.0,12.0,7.0,-6.0
684,10.0,183,44.0,44.0,13.0,97.0,196.0,24.0,30.0
685,9.0,71,5.0,3.0,3.0,64.0,57.0,37.0,2.0
686,10.0,120,38.0,31.0,17.0,143.0,262.0,36.0,28.0
687,10.0,11,2.0,0.0,1.0,7.0,17.0,0.0,-5.0
688,10.0,30,4.0,8.0,3.0,48.0,60.0,8.0,17.0
689,10.0,75,21.0,23.0,5.0,81.0,173.0,11.0,0.0
690,10.0,2,1.0,1.0,0.0,6.0,8.0,1.0,0.0
691,10.0,6,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
692,10.0,30,4.0,3.0,3.0,19.0,34.0,9.0,-2.0
693,9.0,48,1.0,1.0,1.0,26.0,31.0,21.0,1.0
694,9.0,22,0.0,3.0,2.0,22.0,24.0,15.0,11.0
696,9.0,92,10.0,16.0,6.0,163.0,172.0,60.0,21.0
697,9.0,96,16.0,16.0,11.0,132.0,127.0,62.0,23.0
698,9.0,12,2.0,1.0,2.0,9.0,7.0,16.0,-11.0
699,9.0,33,7.0,6.0,2.0,98.0,89.0,21.0,16.0
700,10.0,23,16.0,16.0,2.0,50.0,99.0,5.0,23.0
701,10.0,45,29.0,14.0,2.0,79.0,130.0,12.0,6.0
702,10.0,1,1.0,0.0,0.0,0.0,3.0,2.0,1.0
704,10.0,20,14.0,9.0,0.0,34.0,42.0,6.0,-13.0
708,9.0,17,2.0,2.0,1.0,15.0,23.0,12.0,1.0
710,10.0,4,0.0,1.0,0.0,3.0,2.0,0.0,0.0
712,9.0,66,3.0,16.0,3.0,71.0,60.0,85.0,-12.0
714,9.0,31,5.0,5.0,4.0,38.0,33.0,28.0,16.0
715,10.0,31,5.0,14.0,6.0,23.0,42.0,9.0,21.0
717,10.0,15,8.0,2.0,1.0,43.0,44.0,2.0,6.0
719,9.0,1,0.0,0.0,0.0,2.0,1.0,0.0,-1.0
