ID player,amplua,time,G,As,As_2,TB,Shot,BT,pm
624,10.00,9.27,0.00,0.40,0.00,1.40,1.80,0.00,1.00
627,10.00,13.46,0.00,0.00,0.25,2.75,1.50,0.00,-0.33
628,9.00,15.47,0.17,0.17,0.04,1.04,1.29,0.58,-0.74
633,9.00,17.59,0.00,0.12,0.06,0.81,0.50,1.00,-0.62
636,9.00,19.05,0.03,0.12,0.06,1.06,0.66,0.66,-0.88
646,10.00,14.35,0.48,0.36,0.07,2.48,3.33,0.21,0.83
647,9.00,23.36,0.24,0.12,0.06,1.59,1.76,0.53,0.82
648,10.00,12.96,0.43,0.18,0.08,1.20,2.43,0.10,0.05
650,10.00,12.84,0.22,0.08,0.06,1.14,1.78,0.17,-0.58
651,10.00,17.54,0.30,0.30,0.05,1.48,2.25,0.15,-0.54
652,10.00,18.42,0.32,0.19,0.14,1.65,2.97,0.32,-0.31
654,10.00,17.94,0.39,0.46,0.13,1.56,2.59,0.19,-0.84
655,9.00,17.53,0.01,0.15,0.06,0.73,0.55,0.99,0.27
657,10.00,13.55,0.23,0.32,0.06,1.42,1.96,0.13,-0.33
662,10.00,9.51,0.08,0.13,0.02,0.35,0.69,0.13,0.25
665,9.00,19.66,0.00,0.33,0.00,0.67,0.67,1.67,-0.33
670,9.00,19.23,0.00,0.00,0.00,0.40,1.20,1.10,-0.30
671,10.00,21.21,0.85,0.65,0.30,2.58,4.52,0.11,0.54
672,9.00,13.61,0.11,0.33,0.16,1.11,2.02,0.22,0.21
675,10.00,17.58,0.21,0.27,0.25,1.60,1.83,0.44,0.57
676,9.00,16.51,0.00,0.29,0.06,0.65,1.12,0.59,1.31
678,10.00,13.48,0.06,0.06,0.00,1.24,0.53,0.35,0.15
680,10.00,18.40,0.64,0.64,0.16,1.95,3.96,0.18,0.33
681,9.00,20.78,0.08,0.10,0.05,1.31,1.23,0.62,-0.09
682,10.00,10.05,0.06,0.06,0.00,0.41,0.59,0.35,-0.45
684,10.00,11.20,0.24,0.25,0.06,0.60,1.07,0.13,0.24
685,9.00,15.97,0.07,0.04,0.04,0.90,0.80,0.52,0.03
686,10.00,15.53,0.34,0.29,0.16,1.31,2.34,0.32,0.26
687,10.00,11.18,0.18,0.00,0.09,0.64,1.55,0.00,-0.62
688,10.00,17.77,0.23,0.31,0.08,1.38,2.23,0.15,0.31
689,10.00,13.39,0.28,0.26,0.05,1.02,2.23,0.09,0.21
690,10.00,14.82,0.50,0.50,0.00,3.00,4.00,0.50,0.00
691,10.00,7.54,0.00,0.00,0.00,0.00,0.83,0.00,-1.67
692,10.00,12.05,0.13,0.10,0.10,0.63,1.13,0.30,-0.08
693,9.00,12.01,0.02,0.02,0.02,0.55,0.66,0.45,0.10
694,9.00,14.91,0.00,0.14,0.09,1.00,1.09,0.68,0.65
696,9.00,18.18,0.13,0.18,0.04,1.81,1.86,0.59,0.18
697,9.00,19.88,0.19,0.19,0.12,1.52,1.48,0.62,0.28
698,9.00,18.76,0.00,0.33,0.00,0.33,0.33,1.33,-1.33
699,9.00,17.65,0.13,0.09,0.04,2.22,2.35,0.74,0.25
700,10.00,15.72,0.70,0.70,0.09,2.17,4.30,0.22,1.10
701,10.00,15.14,0.79,0.39,0.04,1.89,2.71,0.32,0.41
704,10.00,18.78,0.50,0.50,0.00,1.00,1.17,0.33,-0.60
708,9.00,10.38,0.20,0.10,0.00,1.00,1.70,0.40,1.38
710,10.00,5.73,0.00,0.25,0.00,0.75,0.50,0.00,0.00
712,9.00,20.97,0.05,0.25,0.05,1.11,0.87,1.25,-0.11
714,9.00,14.42,0.29,0.14,0.29,1.00,1.29,0.43,-0.50
715,10.00,11.38,0.16,0.45,0.19,0.74,1.35,0.29,0.91
717,10.00,15.12,0.50,0.00,0.00,3.00,3.00,0.00,0.00
720,10.00,18.41,0.29,0.29,0.21,1.79,3.57,0.43,0.08
721,9.00,15.50,0.33,0.00,0.00,1.67,3.00,0.33,0.33
724,10.00,17.59,0.35,0.35,0.25,3.00,4.00,0.35,0.25
725,10.00,14.28,0.37,0.20,0.06,0.77,1.77,0.06,-0.69
727,10.00,14.32,0.42,0.33,0.05,1.37,2.38,0.68,0.28
729,9.00,14.18,0.12,0.19,0.12,0.81,2.06,0.12,-0.36
730,9.00,16.07,0.06,0.12,0.00,0.91,0.82,0.24,-0.41
731,9.00,14.56,0.00,0.11,0.00,1.00,0.68,0.79,0.13
733,10.00,16.00,0.50,0.30,0.05,1.73,3.16,0.48,0.55
734,10.00,16.05,0.46,0.35,0.15,2.46,3.85,0.27,0.10
738,9.00,13.50,0.06,0.03,0.00,0.77,1.26,0.32,-0.50
741,9.00,10.64,0.25,0.00,0.00,0.50,1.25,0.25,-1.50
742,10.00,12.88,0.50,0.50,0.00,0.50,0.50,0.00,-1.00
745,10.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00
746,10.00,19.97,0.49,0.29,0.14,1.34,3.51,0.69,0.13
747,10.00,13.00,0.33,0.00,0.00,0.67,1.50,0.00,-0.50
748,9.00,16.91,0.14,0.29,0.17,1.94,2.14,0.69,0.76
749,10.00,15.82,0.73,0.35,0.14,1.84,3.43,0.12,-0.36
751,10.00,13.07,0.26,0.11,0.16,1.32,1.42,0.26,-0.82
755,10.00,18.13,0.23,0.23,0.09,1.20,1.59,0.75,0.45
756,9.00,14.45,0.20,0.27,0.03,1.50,1.40,0.40,0.67
758,9.00,13.72,0.06,0.12,0.00,0.65,0.41,0.29,-1.15
759,9.00,17.98,1.15,0.50,0.24,2.87,5.17,0.44,0.66
763,10.00,13.63,0.47,0.51,0.13,1.16,2.35,0.18,0.67
764,10.00,18.12,1.00,0.40,0.00,1.20,3.20,0.00,0.20
765,9.00,17.68,0.22,0.14,0.19,1.86,2.38,0.65,0.42
766,9.00,14.77,0.33,0.50,0.00,2.00,1.83,1.00,-0.50
767,10.00,10.73,0.38,0.29,0.04,0.83,1.38,0.08,0.25
768,10.00,15.02,1.10,0.40,0.40,3.90,6.20,0.40,1.22
769,9.00,10.55,0.12,0.12,0.00,0.38,0.75,0.50,0.14
769,10.00,10.23,0.23,0.00,0.08,0.38,1.00,0.62,-0.42
772,9.00,25.44,0.00,0.09,0.27,2.09,2.64,1.36,0.00
774,10.00,10.75,0.14,0.09,0.05,0.61,1.18,0.07,-0.44
785,10.00,15.28,0.17,0.27,0.08,1.08,2.40,0.33,-0.21
801,10.00,13.67,0.50,0.23,0.09,1.73,2.73,0.18,0.79
